,,Word Pair Count,Danish Accuracy,Danish Std,Danish (M ± SD),Hungarian Accuracy,Hungarian Std,Hungarian (M ± SD),Spanish Accuracy,Spanish Std,Spanish (M ± SD)
ʁ,ʁ,2,1.0,0.0,1.0 ± 0.0 (Bounded: 1.0),0.85,0.36,0.85 ± 0.36 (Bounded: 1),0.8,0.41,0.8 ± 0.41 (Bounded: 1)
æ,æ,2,1.0,0.0,1.0 ± 0.0 (Bounded: 1.0),0.91,0.29,0.91 ± 0.29 (Bounded: 1),0.96,0.19,0.96 ± 0.19 (Bounded: 1)
ø,y,2,1.0,0.0,1.0 ± 0.0 (Bounded: 1.0),0.89,0.32,0.89 ± 0.32 (Bounded: 1),0.91,0.29,0.91 ± 0.29 (Bounded: 1)
ɶ,ɶ,1,1.0,0.0,1.0 ± 0.0 (Bounded: 1.0),0.89,0.32,0.89 ± 0.32 (Bounded: 1),0.96,0.19,0.96 ± 0.19 (Bounded: 1)
a,æ,2,1.0,0.0,1.0 ± 0.0 (Bounded: 1.0),0.54,0.5,0.54 ± 0.5 (Bounded: 1),0.52,0.5,0.52 ± 0.5 (Bounded: 1)
y,ø,2,0.81,0.4,0.81 ± 0.4 (Bounded: 1),0.28,0.45,0.28 ± 0.45 (Bounded: 0.73),0.3,0.46,0.3 ± 0.46 (Bounded: 0.76)
v,p,1,1.0,0.0,1.0 ± 0.0 (Bounded: 1.0),0.96,0.19,0.96 ± 0.19 (Bounded: 1),0.96,0.19,0.96 ± 0.19 (Bounded: 1)
e,e,1,1.0,0.0,1.0 ± 0.0 (Bounded: 1.0),0.89,0.32,0.89 ± 0.32 (Bounded: 1),0.78,0.42,0.78 ± 0.42 (Bounded: 1)
i,æ,1,0.62,0.52,0.62 ± 0.52 (Bounded: 1),0.07,0.27,0.07 ± 0.27 (Bounded: 0.34),0.15,0.36,0.15 ± 0.36 (Bounded: 0.51)
u,u,2,0.88,0.34,0.88 ± 0.34 (Bounded: 1),0.91,0.29,0.91 ± 0.29 (Bounded: 1),0.91,0.29,0.91 ± 0.29 (Bounded: 1)
ʁ,l,1,1.0,0.0,1.0 ± 0.0 (Bounded: 1.0),1.0,0.0,1.0 ± 0.0 (Bounded: 1.0),1.0,0.0,1.0 ± 0.0 (Bounded: 1.0)
a,a,1,1.0,0.0,1.0 ± 0.0 (Bounded: 1.0),0.96,0.19,0.96 ± 0.19 (Bounded: 1),1.0,0.0,1.0 ± 0.0 (Bounded: 1.0)
ø,u,3,1.0,0.0,1.0 ± 0.0 (Bounded: 1.0),0.94,0.24,0.94 ± 0.24 (Bounded: 1),0.85,0.36,0.85 ± 0.36 (Bounded: 1)
u,y,1,1.0,0.0,1.0 ± 0.0 (Bounded: 1.0),1.0,0.0,1.0 ± 0.0 (Bounded: 1.0),0.93,0.27,0.93 ± 0.27 (Bounded: 1)
y,o,1,1.0,0.0,1.0 ± 0.0 (Bounded: 1.0),1.0,0.0,1.0 ± 0.0 (Bounded: 1.0),1.0,0.0,1.0 ± 0.0 (Bounded: 1.0)
y,y,2,1.0,0.0,1.0 ± 0.0 (Bounded: 1.0),0.89,0.32,0.89 ± 0.32 (Bounded: 1),0.93,0.26,0.93 ± 0.26 (Bounded: 1)
i,ɛ,1,0.75,0.46,0.75 ± 0.46 (Bounded: 1),0.19,0.4,0.19 ± 0.4 (Bounded: 0.5900000000000001),0.26,0.45,0.26 ± 0.45 (Bounded: 0.71)
ø,ø,2,0.75,0.45,0.75 ± 0.45 (Bounded: 1),0.78,0.42,0.78 ± 0.42 (Bounded: 1),0.76,0.43,0.76 ± 0.43 (Bounded: 1)
ø,æ,2,1.0,0.0,1.0 ± 0.0 (Bounded: 1.0),0.85,0.36,0.85 ± 0.36 (Bounded: 1),0.87,0.34,0.87 ± 0.34 (Bounded: 1)
u:,u:,1,1.0,0.0,1.0 ± 0.0 (Bounded: 1.0),0.26,0.45,0.26 ± 0.45 (Bounded: 0.71),0.19,0.4,0.19 ± 0.4 (Bounded: 0.5900000000000001)
e,æ,1,1.0,0.0,1.0 ± 0.0 (Bounded: 1.0),0.59,0.5,0.59 ± 0.5 (Bounded: 1),0.41,0.5,0.41 ± 0.5 (Bounded: 0.9099999999999999)
ɔ,ɔ,1,1.0,0.0,1.0 ± 0.0 (Bounded: 1.0),0.81,0.4,0.81 ± 0.4 (Bounded: 1),0.81,0.4,0.81 ± 0.4 (Bounded: 1)
e,ø,1,1.0,0.0,1.0 ± 0.0 (Bounded: 1.0),1.0,0.0,1.0 ± 0.0 (Bounded: 1.0),0.93,0.27,0.93 ± 0.27 (Bounded: 1)
u,u:,1,0.88,0.35,0.88 ± 0.35 (Bounded: 1),0.44,0.51,0.44 ± 0.51 (Bounded: 0.95),0.44,0.51,0.44 ± 0.51 (Bounded: 0.95)
p,b,1,0.75,0.46,0.75 ± 0.46 (Bounded: 1),0.37,0.49,0.37 ± 0.49 (Bounded: 0.86),0.56,0.51,0.56 ± 0.51 (Bounded: 1)
ɡ,d,1,1.0,0.0,1.0 ± 0.0 (Bounded: 1.0),0.85,0.36,0.85 ± 0.36 (Bounded: 1),0.89,0.32,0.89 ± 0.32 (Bounded: 1)
